Nombre de la población;Población;Densidad (hab/km2);Saldo migratorio (Altas-Bajas);Paro registrado (31 marzo);Valor catastral por unidad urbana (miles euros);Bibliotecas públicas;Farmacias (por 10000 hab) (*);Turismos (por 1000 hab) (*);Estimación PIB per cápita (euros) (a);Indicador de Renta Disponible Bruta Municipal per cápita (euros) (a)
Miraflores de la Sierra;5807;102,87;-33;579;96,21;0;5,09;444,99;14275;15171,37
Molar (El);8036;160,05;105;732;83,37;1;2,51;442,87;14134;13482,23
Molinos (Los);4349;226,75;5;351;145,34;1;4,57;462,75;17441;17078,52
Montejo de la Sierra;374;11,61;16;17;45,62;0;27,55;443,21;33784;11408,56
Moraleja de Enmedio;5046;161,78;-59;414;178,25;1;1,99;554,46;31626;13516,56
Moralzarzal;12213;280,44;60;769;118,69;1;2,43;2132,71;12951;17548,87
Morata de Tajuña;7453;164,45;0;838;85,53;1;2,68;408,77;16031;12119,25
Móstoles;206263;4586,68;-280;19676;74,60;6;3,55;477,25;16018;13392,97
Navacerrada;2855;103,71;11;170;125,29;1;3,49;5440,45;19261;18728,18
Navalafuente;1201;98,52;-1;124;75,25;0;8,38;455,75;10236;14728,49
Navalagamella;2462;32,49;7;247;77,00;0;4,06;504,28;9450;13441,03
Navalcarnero;26672;264,37;71;2628;83,21;1;2,28;410,30;19820;13959,45
Navarredonda y San Mamés;136;4,77;8;10;30,32;0;0,00;542,64;11473;11583,72
Navas del Rey;2628;52,00;22;366;44,40;0;7,58;465,82;16404;11743,31
Nuevo Baztán;6098;303,08;-52;545;157,84;0;3,36;581,99;13451;15890,62
Olmeda de las Fuentes;338;20,44;1;18;62,79;0;29,94;430,27;19465;17035,60
Orusco de Tajuña;1260;58,93;6;129;84,89;0;7,79;350,31;13909;11369,10
Paracuellos de Jarama;22293;508,86;272;1114;123,57;1;0,92;433,88;21755;19478,34
Parla;125056;5006,24;-715;14392;98,35;2;2,23;362,73;10079;12011,09
Patones;524;14,95;29;23;31,10;0;19,72;5782,18;17114;13358,65
Pedrezuela;5271;184,62;76;401;75,45;1;1,95;422,27;14583;16130,95
Pelayos de la Presa;2455;324,31;-20;291;37,28;0;4,00;465,48;15198;12610,20
Perales de Tajuña;2871;58,21;-72;328;44,00;0;3,40;410,04;16056;11702,11
Pezuela de las Torres;783;18,77;-8;61;58,18;0;12,58;535,76;13355;12198,21
Pinilla del Valle;200;7,86;0;14;45,17;0;48,78;567,31;34521;12677,13
Pinto;48660;784,46;823;4456;135,01;2;2,73;439,21;29784;14460,69
Piñuécar-Gandullas;175;9,59;4;12;34,77;0;58,14;511,49;17728;12436,80
Pozuelo de Alarcón;84558;1962,36;-98;3250;138,63;4;3,08;546,55;53195;30198,55
Pozuelo del Rey;1071;34,62;-38;83;52,40;0;9,16;498,13;9895;12970,68
Prádena del Rincón;122;5,42;-13;5;35,92;0;0,00;488,37;16109;11077,31
Puebla de la Sierra;73;1,29;-10;8;19,89;0;0,00;511,11;18108;10758,05
Puentes Viejas;644;10,99;11;52;40,81;0;16,13;503,15;27442;13598,95
Quijorna;3196;124,36;-41;238;38,05;0;3,10;482,53;9604;15059,79
Rascafría;1739;11,64;-27;143;115,37;1;5,56;477,79;21911;13499,39
Redueña;259;19,86;-25;20;56,57;0;35,59;10261,48;19223;13971,48
Ribatejada;707;21,95;25;81;78,93;0;14,51;477,63;13090;14048,71
Rivas-Vaciamadrid;81473;1209,70;186;5393;162,27;3;2,24;444,75;17873;17221,00
Robledillo de la Jara;100;4,76;-1;11;37,58;0;0,00;553,40;27369;13377,50
Robledo de Chavela;3955;41,98;-21;322;55,74;1;4,95;15324,69;18096;13897,65
Robregordo;48;2,61;-4;2;26,79;0;0,00;446,43;14667;9717,76
Rozas de Madrid (Las);93520;1602,74;280;4297;194,55;3;2,69;499,20;38316;24966,33
Rozas de Puerto Real;523;17,70;34;53;29,05;0;20,28;29341,51;21056;11247,22
San Agustín del Guadalix;12982;339,22;106;820;164,88;1;1,54;484,33;21982;20995,82
San Fernando de Henares;40188;1033,91;-654;3512;164,73;2;2,70;492,49;31695;13841,00
San Lorenzo de El Escorial;18191;322,54;17;1092;91,60;1;3,29;411,59;18037;17217,57
